author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;house_number;underground
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/rent/flat/295724279/;Санкт-Петербург;rent;flat;4;7;4;103.0;1553;160000;0;Адмиралтейский;Малая Морская ;19;Адмиралтейская
ID 44356317;realtor;https://spb.cian.ru/rent/flat/295892254/;Санкт-Петербург;rent;flat;3;10;3;110.0;1818;200000;0;Центральный; Моисеенко;27;Площадь Александра Невского
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294290289/;Санкт-Петербург;rent;flat;3;4;1;42.0;1785;75000;0;Центральный;площадь Островского;9;Гостиный двор
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294456213/;Санкт-Петербург;rent;flat;1;3;3;175.0;771;135000;0;Адмиралтейский;Английская набережная;20;Адмиралтейская
Александр Лямин;realtor;https://spb.cian.ru/rent/flat/294481378/;Санкт-Петербург;rent;flat;2;7;2;55.0;836;46000;0;Московский;проспект Юрия Гагарина;21;Парк Победы
ОБЪЕКТ;real_estate_agent;https://spb.cian.ru/rent/flat/289791702/;Санкт-Петербург;rent;flat;7;15;3;102.0;1078;110000;0;Петроградский;Дивенская ;5;
Boretskiy Realty Services;real_estate_agent;https://spb.cian.ru/rent/flat/293980032/;Санкт-Петербург;rent;flat;1;5;3;66.7;674;45000;0;Петродворцовый; Парковая;18;Проспект Ветеранов
ДомИн;real_estate_agent;https://spb.cian.ru/rent/flat/293574749/;Санкт-Петербург;rent;flat;7;10;1;19.0;894;17000;0;Красногвардейский;Полюстрово;21;Гражданский проспект
Татьяна Ващаева;realtor;https://spb.cian.ru/rent/flat/289233069/;Санкт-Петербург;rent;flat;6;23;1;22.0;1500;33000;0;Московский;Пулковское шоссе;14Е;Звездная
Герман Голдман;realtor;https://spb.cian.ru/rent/flat/295477133/;Санкт-Петербург;rent;flat;4;5;3;58.5;735;43000;0;Московский;Витебский проспект;23К1;Бухарестская
Елена Рощевская;realtor;https://spb.cian.ru/rent/flat/295880524/;Санкт-Петербург;rent;flat;4;20;1;46.0;1195;55000;0;Приморский;Ушаковская набережная;3к4;Черная речка
TOWN 78;real_estate_agent;https://spb.cian.ru/rent/flat/294866431/;Санкт-Петербург;rent;flat;3;6;4;150.0;766;115000;0;Петроградский; Графтио;1;Петроградская
Андрей Иванов;realtor;https://spb.cian.ru/rent/flat/295317681/;Санкт-Петербург;rent;flat;2;5;4;130.0;614;79900;0;Центральный; Достоевского;1;Владимирская
ID 81077991;unknown;https://spb.cian.ru/rent/flat/291952743/;Санкт-Петербург;rent;flat;17;25;1;49.4;809;40000;0;Приморский;Коломяжский проспект;15к2;Пионерская
Ирина Бабаева;realtor;https://spb.cian.ru/rent/flat/295660060/;Санкт-Петербург;rent;flat;6;8;4;186.5;1447;270000;0;Петроградский;набережная Мартынова;4;Крестовский остров
